r,g,b,color
85,0,91,purple
0,86,158,blue
219,61,0,orange
147,0,225,purple
51,0,222,blue
181,0,227,purple
128,213,0,green
211,0,130,pink
0,63,48,green
85,0,206,purple
105,114,0,green
75,0,97,purple
0,153,181,blue
252,215,0,yellow
0,71,165,blue
0,150,14,green
10,189,0,green
0,9,99,blue
191,48,0,orange
0,40,159,blue
142,0,227,purple
65,0,219,blue
179,174,0,yellow
185,0,135,pink
36,0,149,blue
0,56,99,blue
184,43,0,red
95,206,0,green
176,50,0,orange
0,150,163,blue
178,2,0,red
110,0,200,purple
63,0,79,purple
238,29,0,red
89,0,197,purple
0,133,6,green
87,56,0,brown
0,42,53,blue
147,0,114,purple
98,116,0,green
0,101,230,blue
204,0,80,pink
234,0,181,pink
0,225,15,green
57,0,92,purple
16,0,116,blue
241,220,0,yellow
110,95,0,brown
97,46,0,brown
216,175,0,yellow
215,0,21,red
80,0,95,purple
88,0,144,purple
0,209,37,green
31,0,51,purple
176,100,0,orange
144,122,0,brown
0,115,53,green
0,194,56,green
32,225,0,green
63,197,0,green
0,180,192,blue
190,0,194,purple
0,60,255,blue
228,0,37,red
23,0,230,blue
165,0,252,purple
0,233,42,green
232,246,0,yellow
253,0,50,red
0,230,26,green
213,76,0,orange
113,0,105,purple
75,0,67,purple
55,32,0,brown
253,152,0,orange
211,0,8,red
0,150,59,green
0,41,62,blue
73,213,0,green
0,234,20,green
0,37,230,blue
0,70,231,blue
40,203,0,green
98,0,158,purple
134,0,119,purple
235,194,0,yellow
0,79,232,blue
253,0,110,pink
0,47,239,blue
55,0,187,blue
137,78,0,brown
224,3,0,red
0,48,205,blue
0,36,121,blue
194,0,33,red
88,0,90,purple
0,235,31,green
0,152,225,blue
0,210,63,green
255,0,112,pink
183,0,0,red
96,0,157,purple
57,147,0,green
0,184,60,green
0,111,176,blue
255,0,223,pink
0,201,127,green
0,13,106,blue
222,203,0,yellow
194,160,0,yellow
91,28,0,brown
140,0,133,purple
204,0,154,pink
0,12,24,black
0,144,36,green
192,0,33,red
184,0,28,red
141,145,0,green
1,185,0,green
245,0,20,red
163,205,0,green
78,0,105,purple
0,85,136,blue
36,176,0,green
132,93,0,brown
147,106,0,brown
152,0,97,purple
142,0,219,purple
59,0,177,blue
212,51,0,orange
166,172,0,green
0,15,244,blue
56,0,177,blue
49,122,0,green
131,0,132,purple
237,173,0,yellow
95,86,0,brown
7,0,214,blue
225,112,0,orange
29,234,0,green
0,171,115,green
234,4,0,red
0,20,185,blue
113,0,73,purple
253,11,0,red
101,0,143,purple
69,0,38,purple
0,217,64,green
147,163,0,green
0,239,34,green
78,112,0,green
181,0,160,purple
13,0,242,blue
0,78,28,green
56,82,0,green
0,136,71,green
50,0,165,blue
150,0,242,purple
231,19,0,red
133,0,97,purple
0,1,202,blue
214,0,36,red
201,190,0,yellow
46,127,0,green
0,51,85,blue
115,0,75,purple
0,125,49,green
172,0,199,purple
242,92,0,orange
11,0,151,blue
0,115,38,green
212,0,214,pink
95,192,0,green
19,0,108,blue
103,48,0,brown
177,0,141,purple
200,0,174,pink
208,0,226,purple
19,18,0,black
52,169,0,green
160,0,99,purple
108,0,52,purple
55,41,0,brown
86,128,0,green
0,250,76,green
0,64,76,blue
228,0,157,pink
209,208,0,yellow
91,0,126,purple
137,98,0,brown
38,0,189,blue
0,134,62,green
99,0,95,purple
0,197,66,green
192,0,245,purple
39,0,76,purple
0,233,60,green
214,187,0,yellow
22,76,0,green
110,0,17,red
235,222,0,yellow
95,0,92,purple
0,144,69,green
58,0,40,purple
124,0,170,purple
219,196,0,yellow
151,106,0,brown
0,175,13,green
0,234,116,green
0,174,195,blue
45,0,124,blue
186,115,0,orange
0,232,63,green
141,158,0,green
0,15,189,blue
35,0,116,blue
95,0,114,purple
70,0,143,purple
133,0,162,purple
0,111,132,blue
0,190,84,green
83,0,155,purple
0,38,115,blue
71,140,0,green
62,194,0,green
159,118,0,brown
232,213,0,yellow
6,0,84,blue
173,189,0,green
25,0,185,blue
65,0,217,blue
0,35,203,blue
228,10,0,red
219,0,87,pink
50,0,87,purple
88,237,0,green
87,0,139,purple
19,193,0,green
184,0,3,red
29,205,0,green
80,241,0,green
217,140,0,orange
0,55,100,blue
244,223,0,yellow
92,70,0,brown
26,157,0,green
129,54,0,brown
168,0,224,purple
83,211,0,green
154,0,37,red
0,75,92,blue
231,4,0,red
59,12,0,brown
0,59,236,blue
100,0,163,purple
118,0,77,purple
0,182,31,green
16,0,3,black
184,0,132,pink
11,0,172,blue
0,154,17,green
28,174,0,green
138,241,0,green
0,59,124,blue
158,206,0,green
0,38,252,blue
183,0,154,purple
144,77,0,brown
0,60,72,blue
0,138,5,green
174,16,0,red
215,126,0,orange
209,221,0,yellow
0,95,220,blue
18,227,0,green
128,0,11,red
56,0,123,purple
0,169,82,green
21,0,244,blue
126,149,0,green
119,250,0,green
0,148,60,green
234,76,0,orange
118,0,92,purple
247,0,163,pink
225,0,79,pink
0,112,176,blue
71,0,254,blue
37,0,197,blue
0,189,105,green
0,186,28,green
0,204,132,green
113,0,126,purple
88,192,0,green
129,0,181,purple
192,0,181,purple
0,216,90,green
0,91,19,green
191,0,166,pink
0,15,18,black
195,163,0,yellow
109,0,20,red
132,210,0,green
119,142,0,green
208,122,0,orange
68,104,0,green
144,227,0,green
62,191,0,green
165,182,0,green
0,132,237,blue
97,248,0,green
114,0,5,red
147,49,0,brown
164,166,0,green
193,73,0,orange
11,222,0,green
1,0,229,blue
0,197,125,green
171,0,118,purple
203,138,0,orange
0,49,167,blue
229,29,0,red
12,0,251,blue
55,0,32,purple
253,0,47,red
0,153,54,green
0,186,120,green
119,0,130,purple
0,174,10,green
162,172,0,green
0,169,179,blue
169,0,143,purple
0,108,7,green
0,169,224,blue
94,132,0,green
106,0,162,purple
63,13,0,brown
214,0,60,red
29,81,0,green
0,151,80,green
54,13,0,brown
235,0,124,pink
80,68,0,brown
0,110,201,blue
234,34,0,red
177,0,143,purple
34,0,249,blue
118,0,254,purple
126,175,0,green
124,191,0,green
174,112,0,brown
0,77,20,green
105,0,64,purple
174,212,0,green
0,114,158,blue
118,0,171,purple
124,0,65,purple
50,74,0,green
230,61,0,orange
58,234,0,green
48,0,253,blue
7,0,20,black
232,51,0,orange
0,17,246,blue
162,0,252,purple
0,229,99,green
116,0,185,purple
0,62,91,blue
0,125,239,blue
116,0,11,red
22,0,114,blue
111,0,157,purple
0,253,11,green
0,62,139,blue
42,0,210,blue
0,138,156,blue
201,114,0,orange
74,50,0,brown
0,18,26,black
8,0,96,blue
0,65,12,green
0,123,69,green
0,129,202,blue
0,144,219,blue
0,201,48,green
141,159,0,green
100,175,0,green
121,38,0,brown
249,91,0,orange
0,126,252,blue
0,132,213,blue
172,0,253,purple
218,248,0,yellow
211,154,0,orange
209,234,0,yellow
156,0,158,purple
203,64,0,orange
187,6,0,red
133,197,0,green
0,43,223,blue
2,187,0,green
50,0,38,purple
0,11,175,blue
0,100,22,green
0,145,231,blue
250,189,0,yellow
13,15,0,black
0,201,36,green
216,8,0,red
73,200,0,green
110,0,227,purple
0,129,147,blue
70,0,58,purple
126,191,0,green
81,204,0,green
0,68,236,blue
108,96,0,brown
226,0,89,pink
178,0,207,purple
147,174,0,green
120,0,34,red
136,83,0,brown
0,129,172,blue
88,79,0,brown
135,0,128,purple
0,233,50,green
0,187,58,green
182,0,0,red
0,6,19,black
229,0,162,pink
131,0,195,purple
0,24,235,blue
127,254,0,green
111,145,0,green
118,0,152,purple
56,0,255,blue
62,106,0,green
133,0,245,purple
52,118,0,green
